Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,70.599998,70.599998,70.599998,70.599998,65.068466,0
2018-12-04,67.459999,67.459999,67.459999,67.459999,62.174488,0
2018-12-06,67.099998,67.099998,67.099998,67.099998,61.842682,0
2018-12-07,65.370003,65.370003,65.370003,65.370003,60.248241,0
2018-12-10,65.389999,65.389999,65.389999,65.389999,60.266663,0
2018-12-11,65.029999,65.029999,65.029999,65.029999,59.934872,0
2018-12-12,65.110001,65.110001,65.110001,65.110001,60.317486,0
2018-12-13,64.769997,64.769997,64.769997,64.769997,60.002502,0
2018-12-14,63.869999,63.869999,63.869999,63.869999,59.168751,0
2018-12-17,62.770000,62.770000,62.770000,62.770000,58.149723,0
2018-12-18,63.130001,63.130001,63.130001,63.130001,58.483223,0
2018-12-19,61.939999,61.939999,61.939999,61.939999,57.380806,0
2018-12-20,60.860001,60.860001,60.860001,60.860001,56.380318,0
2018-12-21,59.700001,59.700001,59.700001,59.700001,55.305691,0
2018-12-24,57.939999,57.939999,57.939999,57.939999,53.675240,0
2018-12-26,60.709999,60.709999,60.709999,60.709999,56.241348,0
2018-12-27,61.389999,61.389999,61.389999,61.389999,56.871296,0
2018-12-28,61.240002,61.240002,61.240002,61.240002,56.732330,0
2018-12-31,61.869999,61.869999,61.869999,61.869999,57.315956,0
2019-01-02,62.130001,62.130001,62.130001,62.130001,57.556831,0
2019-01-03,60.360001,60.360001,60.360001,60.360001,55.917103,0
2019-01-04,62.660000,62.660000,62.660000,62.660000,58.047813,0
2019-01-07,63.139999,63.139999,63.139999,63.139999,58.492481,0
2019-01-08,64.080002,64.080002,64.080002,64.080002,59.363293,0
2019-01-09,64.570000,64.570000,64.570000,64.570000,59.817219,0
2019-01-10,65.410004,65.410004,65.410004,65.410004,60.595390,0
2019-01-11,65.370003,65.370003,65.370003,65.370003,60.558346,0
2019-01-14,65.269997,65.269997,65.269997,65.269997,60.465698,0
2019-01-15,65.120003,65.120003,65.120003,65.120003,60.326748,0
2019-01-16,65.239998,65.239998,65.239998,65.239998,60.437904,0
2019-01-17,66.290001,66.290001,66.290001,66.290001,61.410625,0
2019-01-18,67.540001,67.540001,67.540001,67.540001,62.568623,0
2019-01-22,66.180000,66.180000,66.180000,66.180000,61.308723,0
2019-01-23,66.139999,66.139999,66.139999,66.139999,61.271671,0
2019-01-24,66.540001,66.540001,66.540001,66.540001,61.642231,0
2019-01-25,67.370003,67.370003,67.370003,67.370003,62.411133,0
2019-01-28,66.760002,66.760002,66.760002,66.760002,61.846031,0
2019-01-29,67.580002,67.580002,67.580002,67.580002,62.605667,0
2019-01-30,68.570000,68.570000,68.570000,68.570000,63.522793,0
2019-01-31,68.900002,68.900002,68.900002,68.900002,63.828510,0
2019-02-01,69.040001,69.040001,69.040001,69.040001,63.958206,0
2019-02-04,69.889999,69.889999,69.889999,69.889999,64.745636,0
2019-02-05,70.459999,70.459999,70.459999,70.459999,65.273697,0
2019-02-06,70.430000,70.430000,70.430000,70.430000,65.245895,0
2019-02-07,69.910004,69.910004,69.910004,69.910004,64.764168,0
2019-02-08,69.970001,69.970001,69.970001,69.970001,64.819763,0
2019-02-11,70.400002,70.400002,70.400002,70.400002,65.218102,0
2019-02-12,71.519997,71.519997,71.519997,71.519997,66.255661,0
2019-02-13,71.959999,71.959999,71.959999,71.959999,66.663269,0
2019-02-14,71.669998,71.669998,71.669998,71.669998,66.394608,0
2019-02-15,72.650002,72.650002,72.650002,72.650002,67.302498,0
2019-02-19,72.660004,72.660004,72.660004,72.660004,67.311752,0
2019-02-20,72.989998,72.989998,72.989998,72.989998,67.617470,0
2019-02-21,72.750000,72.750000,72.750000,72.750000,67.395126,0
2019-02-22,73.209999,73.209999,73.209999,73.209999,67.821266,0
2019-02-25,73.430000,73.430000,73.430000,73.430000,68.025070,0
2019-02-26,73.139999,73.139999,73.139999,73.139999,67.756416,0
2019-02-27,73.419998,73.419998,73.419998,73.419998,68.015800,0
2019-02-28,73.169998,73.169998,73.169998,73.169998,67.784210,0
2019-03-01,73.339996,73.339996,73.339996,73.339996,67.941696,0
2019-03-04,72.940002,72.940002,72.940002,72.940002,67.571159,0
2019-03-05,72.480003,72.480003,72.480003,72.480003,67.144989,0
2019-03-06,71.760002,71.760002,71.760002,71.760002,66.477982,0
2019-03-07,71.300003,71.300003,71.300003,71.300003,66.051857,0
2019-03-08,71.120003,71.120003,71.120003,71.120003,65.885117,0
2019-03-11,71.809998,71.809998,71.809998,71.809998,66.524323,0
2019-03-12,71.260002,71.260002,71.260002,71.260002,66.014793,0
2019-03-13,71.860001,71.860001,71.860001,71.860001,66.570663,0
2019-03-14,71.589996,71.589996,71.589996,71.589996,66.320488,0
2019-03-15,71.459999,71.459999,71.459999,71.459999,66.200089,0
2019-03-18,72.129997,72.129997,72.129997,72.129997,66.820747,0
2019-03-19,71.790001,71.790001,71.790001,71.790001,66.505806,0
2019-03-20,70.949997,70.949997,70.949997,70.949997,66.052391,0
2019-03-21,71.669998,71.669998,71.669998,71.669998,66.722702,0
2019-03-22,69.870003,69.870003,69.870003,69.870003,65.046967,0
2019-03-25,70.059998,70.059998,70.059998,70.059998,65.223846,0
2019-03-26,70.570000,70.570000,70.570000,70.570000,65.698647,0
2019-03-27,70.639999,70.639999,70.639999,70.639999,65.763809,0
2019-03-28,71.220001,71.220001,71.220001,71.220001,66.303780,0
2019-03-29,71.879997,71.879997,71.879997,71.879997,66.918221,0
2019-04-01,73.330002,73.330002,73.330002,73.330002,68.268127,0
2019-04-02,73.239998,73.239998,73.239998,73.239998,68.184326,0
2019-04-03,73.199997,73.199997,73.199997,73.199997,68.147102,0
2019-04-04,73.650002,73.650002,73.650002,73.650002,68.566017,0
2019-04-05,73.949997,73.949997,73.949997,73.949997,68.845337,0
2019-04-08,73.690002,73.690002,73.690002,73.690002,68.603256,0
2019-04-09,72.660004,72.660004,72.660004,72.660004,67.644371,0
2019-04-10,72.820000,72.820000,72.820000,72.820000,67.793320,0
2019-04-11,73.440002,73.440002,73.440002,73.440002,68.370522,0
2019-04-12,74.300003,74.300003,74.300003,74.300003,69.171173,0
2019-04-15,73.989998,73.989998,73.989998,73.989998,68.882561,0
2019-04-16,74.410004,74.410004,74.410004,74.410004,69.273582,0
2019-04-17,74.500000,74.500000,74.500000,74.500000,69.357346,0
2019-04-18,75.230003,75.230003,75.230003,75.230003,70.036964,0
2019-04-22,74.970001,74.970001,74.970001,74.970001,69.794907,0
2019-04-23,75.669998,75.669998,75.669998,75.669998,70.446602,0
2019-04-24,75.559998,75.559998,75.559998,75.559998,70.344170,0
2019-04-25,74.129997,74.129997,74.129997,74.129997,69.012901,0
2019-04-26,74.690002,74.690002,74.690002,74.690002,69.534256,0
2019-04-29,74.930000,74.930000,74.930000,74.930000,69.757675,0
2019-04-30,75.199997,75.199997,75.199997,75.199997,70.009033,0
2019-05-01,74.610001,74.610001,74.610001,74.610001,69.459778,0
2019-05-02,74.580002,74.580002,74.580002,74.580002,69.431847,0
2019-05-03,75.599998,75.599998,75.599998,75.599998,70.381401,0
2019-05-06,74.989998,74.989998,74.989998,74.989998,69.813522,0
2019-05-07,73.459999,73.459999,73.459999,73.459999,68.389130,0
2019-05-08,73.379997,73.379997,73.379997,73.379997,68.314636,0
2019-05-09,73.279999,73.279999,73.279999,73.279999,68.221558,0
2019-05-10,73.540001,73.540001,73.540001,73.540001,68.463615,0
2019-05-13,71.430000,71.430000,71.430000,71.430000,66.499290,0
2019-05-14,72.190002,72.190002,72.190002,72.190002,67.206810,0
2019-05-15,72.330002,72.330002,72.330002,72.330002,67.337135,0
2019-05-16,72.949997,72.949997,72.949997,72.949997,67.914337,0
2019-05-17,72.120003,72.120003,72.120003,72.120003,67.141640,0
2019-05-20,71.889999,71.889999,71.889999,71.889999,66.927528,0
2019-05-21,72.809998,72.809998,72.809998,72.809998,67.784004,0
2019-05-22,72.199997,72.199997,72.199997,72.199997,67.216118,0
2019-05-23,71.070000,71.070000,71.070000,71.070000,66.164124,0
2019-05-24,71.139999,71.139999,71.139999,71.139999,66.229286,0
2019-05-28,70.510002,70.510002,70.510002,70.510002,65.642784,0
